close,high,low,open,timestamp,volume
31368.39028,32834.7644,29292.51437,32834.7644,2021-01-04T00:00:00Z,32872880446
33130.36428,35915.86766,33130.36428,35440.63324,2021-01-03T00:00:00Z,75525177565
32125.41319,32782.28678,29625.74441,29750.20035,2021-01-02T00:00:00Z,64302222520
29385.57249,29385.57249,28911.91008,28911.91008,2021-01-01T00:00:00Z,38672617259
29005.86431,29082.61697,28196.15923,28777.32078,2020-12-31T00:00:00Z,46232114550
28856.25286,28856.25286,27606.16729,27606.16729,2020-12-30T00:00:00Z,49716547776
27369.72814,27369.72814,26528.03676,27099.50363,2020-12-29T00:00:00Z,43104981986
27080.02681,27213.06858,27080.02681,27167.68228,2020-12-28T00:00:00Z,48365268288
26307.86451,27603.12743,26307.86451,27159.42757,2020-12-27T00:00:00Z,63770602152
26413.02331,26413.02331,24810.27309,24810.27309,2020-12-26T00:00:00Z,47874926694
24692.92736,24692.92736,23723.10835,23918.11376,2020-12-25T00:00:00Z,41021622302
23769.26778,23769.26778,23594.06496,23647.64843,2020-12-24T00:00:00Z,40928613618
23227.3096,23358.27869,23105.24742,23197.83864,2020-12-23T00:00:00Z,49887314705
23879.0772,23879.0772,23124.6624,23158.08624,2020-12-22T00:00:00Z,43529462774
22754.09936,23552.03366,22335.98041,23128.40955,2020-12-21T00:00:00Z,44736375299
23494.24413,23750.89035,23289.95588,23514.00171,2020-12-20T00:00:00Z,38151394087
23818.01012,23818.01012,23185.91557,23185.91557,2020-12-19T00:00:00Z,38378799920
23138.76242,23138.76242,22747.50575,22916.37149,2020-12-18T00:00:00Z,40680345250
22755.3489,23044.58974,21367.65633,21367.65633,2020-12-17T00:00:00Z,65359428771
21317.09726,21370.0136,19856.17536,19856.17536,2020-12-16T00:00:00Z,43861894965
19444.08996,19467.62371,19285.62939,19305.60055,2020-12-15T00:00:00Z,26487616557
19242.21187,19242.21187,19137.42365,19137.42365,2020-12-14T00:00:00Z,23418889909
19196.03811,19316.60341,19151.7745,19151.7745,2020-12-13T00:00:00Z,24717881882
18832.30734,18832.30734,18371.5259,18371.5259,2020-12-12T00:00:00Z,22761412659
18019.81732,18068.10442,17791.66274,18068.10442,2020-12-11T00:00:00Z,27785679211
18233.05584,18349.94342,18090.73776,18349.94342,2020-12-10T00:00:00Z,25673420029
18572.2599,18572.2599,18194.29972,18525.62878,2020-12-09T00:00:00Z,32169576005
18319.92675,18822.73948,18313.13146,18760.3993,2020-12-08T00:00:00Z,28293259133
19181.51939,19232.35705,19095.06284,19224.47033,2020-12-07T00:00:00Z,23293128121
19389.79394,19389.79394,19209.93065,19273.04683,2020-12-06T00:00:00Z,22640049261
19186.59626,19186.59626,19137.21807,19137.21807,2020-12-05T00:00:00Z,24202389084
18642.18235,18877.45116,18604.08288,18841.21756,2020-12-04T00:00:00Z,28161451952
19434.99952,19488.38748,19350.48107,19476.80996,2020-12-03T00:00:00Z,26810870361
19207.98178,19207.98178,18723.31447,18926.17513,2020-12-02T00:00:00Z,31609202041
18765.03432,19360.52576,18612.63606,19360.52576,2020-12-01T00:00:00Z,41994232956
19694.08796,19694.08796,18731.15189,18731.15189,2020-11-30T00:00:00Z,39378487252
18236.30671,18320.42461,18236.30671,18320.42461,2020-11-29T00:00:00Z,24889947831
17731.92733,17731.92733,17393.99886,17473.26759,2020-11-28T00:00:00Z,26230593518
17165.2342,17275.80036,16836.38449,17185.98468,2020-11-27T00:00:00Z,33404363093
17196.60225,18231.24033,16753.82823,18172.39005,2020-11-26T00:00:00Z,52823442868
18777.61838,18870.96826,18747.07079,18747.07079,2020-11-25T00:00:00Z,37019122943
19122.66187,19122.66187,18373.6517,18373.6517,2020-11-24T00:00:00Z,45996284674
18474.49949,19479.7834,18474.49949,19479.7834,2020-11-23T00:00:00Z,35976121017
18492.14446,18908.07782,18492.14446,18908.07782,2020-11-22T00:00:00Z,34809835880
18760.00473,19525.82582,18760.00473,19525.82582,2020-11-21T00:00:00Z,33375136854
18690.86437,18690.86437,18556.57561,18559.44506,2020-11-20T00:00:00Z,31864370433
17835.25873,17849.47125,17639.46182,17708.90645,2020-11-19T00:00:00Z,33056568801
17818.07172,18055.97431,17565.63584,17619.08972,2020-11-18T00:00:00Z,44782533997
17668.59471,17668.59471,17029.95388,17029.95388,2020-11-17T00:00:00Z,35625111503
16684.3032,16684.3032,16148.51942,16148.51942,2020-11-16T00:00:00Z,27166907076
15947.24887,15955.38416,15802.76683,15802.76683,2020-11-15T00:00:00Z,20265403220
16080.87158,16080.87158,15938.24512,16029.7804,2020-11-14T00:00:00Z,23521730081
16328.55504,16543.26811,16328.55504,16543.26811,2020-11-13T00:00:00Z,26924410268
16283.56094,16283.56094,15699.55363,15699.55363,2020-11-12T00:00:00Z,30558338400
15723.90082,15723.90082,15565.35064,15565.35064,2020-11-11T00:00:00Z,24997093613
15334.59516,15446.65918,15334.59516,15446.65918,2020-11-10T00:00:00Z,24262641276
15353.11618,15513.78667,15100.96418,15330.83347,2020-11-09T00:00:00Z,30818658913
15463.43917,15463.43917,15227.55231,15227.55231,2020-11-08T00:00:00Z,27149284906
14843.0628,15289.82823,14745.54658,15289.82823,2020-11-07T00:00:00Z,32019226499
15662.86,16298.20974,15662.86,16298.20974,2020-11-06T00:00:00Z,38990156189
15515.79155,15515.79155,14403.1354,14403.1354,2020-11-05T00:00:00Z,39891455895
14212.06071,14273.21053,14073.35645,14273.21053,2020-11-04T00:00:00Z,27224505358
13992.53132,13992.53132,13637.82178,13637.82178,2020-11-03T00:00:00Z,24095781375
13559.59723,13569.12602,13457.16825,13569.12602,2020-11-02T00:00:00Z,23079138165
13824.01624,14029.93852,13824.01624,14029.93852,2020-11-01T00:00:00Z,20096684374
13797.63936,13838.09165,13642.05684,13642.05684,2020-10-31T00:00:00Z,22966324814
13576.46161,13576.46161,13338.61433,13338.61433,2020-10-30T00:00:00Z,27031601719
13463.50521,13463.50521,13247.39317,13267.1171,2020-10-29T00:00:00Z,23952787254
13291.04036,13483.09361,13175.06376,13426.99992,2020-10-28T00:00:00Z,27311777383
13651.87903,13651.87903,13204.85128,13204.85128,2020-10-27T00:00:00Z,25835075025
13068.49683,13068.49683,12808.28119,12808.28119,2020-10-26T00:00:00Z,21422160110
13027.84165,13048.92867,12986.27404,12997.43756,2020-10-25T00:00:00Z,19288444379
13110.93236,13110.93236,12980.18115,12980.18115,2020-10-24T00:00:00Z,18832508379
12917.17858,12917.17858,12859.42973,12890.40328,2020-10-23T00:00:00Z,21424265074
12979.44686,13175.73816,12979.44686,13175.73816,2020-10-22T00:00:00Z,27037045652
12788.12141,12934.24159,12222.12004,12222.12004,2020-10-21T00:00:00Z,33077094891
11909.39189,11909.39189,11557.54165,11557.54165,2020-10-20T00:00:00Z,23697416879
11747.71759,11747.71759,11539.26501,11539.26501,2020-10-19T00:00:00Z,17933857540
11525.70516,11614.58583,11525.70516,11596.31451,2020-10-18T00:00:00Z,14164980980
11371.06056,11401.01863,11371.06056,11388.75632,2020-10-17T00:00:00Z,14602442358
11322.77504,11322.77504,11271.16617,11271.16617,2020-10-16T00:00:00Z,20520084843
11512.81432,11512.81432,11413.87075,11413.87075,2020-10-15T00:00:00Z,20225045846
11431.78512,11431.78512,11396.50673,11396.50673,2020-10-14T00:00:00Z,20353071825
11449.94439,11460.46131,11449.94439,11460.46131,2020-10-13T00:00:00Z,20553540146
11549.89724,11589.45915,11549.89724,11589.45915,2020-10-12T00:00:00Z,21355364868
11384.73082,11409.48357,11381.31564,11381.31564,2020-10-11T00:00:00Z,15351849954
11299.26481,11299.26481,11162.00182,11162.00182,2020-10-10T00:00:00Z,18917523092
11060.3666,11199.49693,11060.3666,11199.49693,2020-10-09T00:00:00Z,18750077406
10934.14116,10934.14116,10827.01969,10827.01969,2020-10-08T00:00:00Z,19350693482
10675.85357,10736.08128,10609.04609,10609.04609,2020-10-07T00:00:00Z,15980361907
10608.96305,10620.11501,10569.31355,10569.31355,2020-10-06T00:00:00Z,17956199678
10789.32257,10789.32257,10704.94432,10704.94432,2020-10-05T00:00:00Z,16036995473
10689.78776,10730.43752,10689.68514,10689.68514,2020-10-04T00:00:00Z,14252211088
10555.94377,10596.41751,10555.94377,10594.2667,2020-10-03T00:00:00Z,13918176520
10584.90883,10587.98716,10492.05008,10492.05008,2020-10-02T00:00:00Z,20831231747
10620.33365,10691.53476,10577.66688,10689.46988,2020-10-01T00:00:00Z,20193267987
10787.89525,10848.0071,10787.89525,10848.0071,2020-09-30T00:00:00Z,17368045904
10841.14813,10841.14813,10794.06285,10794.06285,2020-09-29T00:00:00Z,17846291621
